Faith,Cancer,Nature,Mindfulness
god,tumor,earth,reflect
hope,radiology,sun,care
pray,chemotherapi,sky,mental health
believe,benign,star,introspect
trust,invas,tree,meditate
church,mastectomi,flower,center
conviction ,surgery,land,concentration
optimism,malign,sea,breath
religion,metastasize,ocean,relaxation
idealogy,melanoma,lake,sit
confident,carcinogen,river,focus
group,cancer,rain,yoga
relationship,precancer,storm,body
mass,survivor,thunder,hardship
synagogue,disease,lighten,redifin
anticipation,sick,snow,experiment
future,ill,sunset,sign
strong,spread,sunrise,know
lord,lump,outside,heal
reading,cell,leaf,position
wait,grow,trek,mind 
focus,neck,wilder,deep
position,body,animal,body
plan,organ,stream,sense
support,lung,rock,tension
desire,heal,bolt,pause
accept ,emergency,flood,notice
loyal,oncologist,weather,heartbeat
truth,prescription,water,concern
assent,m.d.,hurricane,direct
assurance,test,morning,forethought
constant,pass,night,head
credence,prognosis,world,heed
credulity,migrane,life,interest
depend,seizure,environment,pain
fealti,c.t.,landscape,regard
reliance,scan,view,sense
sure,imaging,cosmos,positive
surety,heartbeat,country,self-encouragement
troth,diagnosis,forest,feel
hope,biopsy,macrocosms,reset
change,remove,outdoor,whole
brighter,carcinoma,scenario,change
gratitude,big c,seascape,found
faith,live,electrcity,float
opportunity,pass,set,need
love,radiation,universe,connect
pray,kidney,natural,let go
hope,chemo,canoe,welcome
likelihood,passed away,alaska,inspiration
changes to come,Stage,hike,connect
brighter future,Kidney cancer,disaster,create
,,float,feast
,,forest,feel
,,fire,coma
,,soil,Sense of
,,canyon,Deep breath
,,butterfly,Feel your body
,,camp,Noticing
,,gear,focus on 
,,flower,self-encouragement
,,mountain,the positive
,,hike,Reset yourself
,,paddle,Whole
,,sunrise,Changes you
,,boat,Found myself
,,backcountries,Silent float
,,Weather service,Needed that
,,Load gear,Welcome back
,,Canyon wall,Inspired
,,,Create yourself
,,,Feast on your life
,,,Feeling free
,,,Be here
